Fase,Nombre_fase,Referencia_brazalete,Que_es,Cabeza,Archivo,URL_proveedor,Aviso
5,Piel azul,Brz-Piel-P18,"Piel con liberación rápida · Azul, pespunte blanco, hebilla clásica plateada",C2-E2,LO-03-C2-E2-Brz-Piel-P18.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P18,"Piel con liberación rápida · Azul, pespunte blanco, hebilla clásica plateada",C2-E3,LO-03-C2-E3-Brz-Piel-P18.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P19,"Piel con liberación rápida · Azul, pespunte blanco, hebilla clásica negra",C1-E1,LO-03-C1-E1-Brz-Piel-P19.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P19,"Piel con liberación rápida · Azul, pespunte blanco, hebilla clásica negra",C1-E2,LO-03-C1-E2-Brz-Piel-P19.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P19,"Piel con liberación rápida · Azul, pespunte blanco, hebilla clásica negra",C2-E2,LO-03-C2-E2-Brz-Piel-P19.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P19,"Piel con liberación rápida · Azul, pespunte blanco, hebilla clásica negra",C2-E3,LO-03-C2-E3-Brz-Piel-P19.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P20,"Piel con liberación rápida · Azul, pespunte blanco, hebilla clásica de oro rosa",C1-E1,LO-03-C1-E1-Brz-Piel-P20.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P20,"Piel con liberación rápida · Azul, pespunte blanco, hebilla clásica de oro rosa",C1-E2,LO-03-C1-E2-Brz-Piel-P20.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P20,"Piel con liberación rápida · Azul, pespunte blanco, hebilla clásica de oro rosa",C2-E2,LO-03-C2-E2-Brz-Piel-P20.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P20,"Piel con liberación rápida · Azul, pespunte blanco, hebilla clásica de oro rosa",C2-E3,LO-03-C2-E3-Brz-Piel-P20.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P21,"Piel con liberación rápida · Azul, pespunte negro, hebilla mariposa plateada",C1-E1,LO-03-C1-E1-Brz-Piel-P21.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P21,"Piel con liberación rápida · Azul, pespunte negro, hebilla mariposa plateada",C1-E2,LO-03-C1-E2-Brz-Piel-P21.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P21,"Piel con liberación rápida · Azul, pespunte negro, hebilla mariposa plateada",C2-E2,LO-03-C2-E2-Brz-Piel-P21.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P21,"Piel con liberación rápida · Azul, pespunte negro, hebilla mariposa plateada",C2-E3,LO-03-C2-E3-Brz-Piel-P21.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P22,"Piel con liberación rápida · Azul, pespunte negro, hebilla clásica plateada",C1-E1,LO-03-C1-E1-Brz-Piel-P22.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P22,"Piel con liberación rápida · Azul, pespunte negro, hebilla clásica plateada",C1-E2,LO-03-C1-E2-Brz-Piel-P22.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P22,"Piel con liberación rápida · Azul, pespunte negro, hebilla clásica plateada",C2-E2,LO-03-C2-E2-Brz-Piel-P22.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P22,"Piel con liberación rápida · Azul, pespunte negro, hebilla clásica plateada",C2-E3,LO-03-C2-E3-Brz-Piel-P22.webp,https://es.aliexpress.com/item/1005007805649477.html,
